,번호,이름,수능점수,내신점수,1학년점수,1순위,2순위,3순위,4순위,5순위,6순위,7순위,8순위,9순위,10순위,가중Score
669,670,컿벉쩩,75,66,90,컴퓨터인공지능학부,융합기술공학부(IT응용시스템공학),기계설계공학부(나노바이오기계시스템공학),토목/환경/자원.에너지공학부(자원.에너지공학),화학공학부,토목/환경/자원.에너지공학부(토목공학),전자공학부,바이오메디컬공학부,소프트웨어공학과,기계설계공학부(기계설계공학),79.5
670,671,푼톨떅,75,61,78,기계공학과,신소재공학부(금속시스템공학),화학공학부,신소재공학부(전자재료공학),기계시스템공학부,양자시스템공학과,토목/환경/자원.에너지공학부(토목공학),도시공학과,토목/환경/자원.에너지공학부(자원.에너지공학),기계설계공학부(기계설계공학),75.9
671,672,쥼췖춫,71,36,68,신소재공학부(금속시스템공학),기계시스템공학부,토목/환경/자원.에너지공학부(자원.에너지공학),바이오메디컬공학부,도시공학과,산업정보시스템공학과,신소재공학부(전자재료공학),건축공학과,컴퓨터인공지능학부,유기소재섬유공학과,70.1
672,673,즐퍡쎇,63,61,64,융합기술공학부(IT융합기전공학),도시공학과,토목/환경/자원.에너지공학부(자원.에너지공학),소프트웨어공학과,기계설계공학부(나노바이오기계시스템공학),화학공학부,토목/환경/자원.에너지공학부(토목공학),컴퓨터인공지능학부,기계시스템공학부,전기공학과,63.3
673,674,껣쳕떪,83,82,73,유기소재섬유공학과,컴퓨터인공지능학부,신소재공학부(전자재료공학),전기공학과,바이오메디컬공학부,기계시스템공학부,산업정보시스템공학과,융합기술공학부(IT융합기전공학),토목/환경/자원.에너지공학부(자원.에너지공학),토목/환경/자원.에너지공학부(환경공학),80.0
674,675,탬솳곺,75,36,96,전기공학과,도시공학과,토목/환경/자원.에너지공학부(토목공학),고분자.나노공학과,소프트웨어공학과,산업정보시스템공학과,기계설계공학부(나노바이오기계시스템공학),양자시스템공학과,항공우주공학과,신소재공학부(금속시스템공학),81.3
675,676,뫠쯧횢,81,49,44,소프트웨어공학과,융합기술공학부(IT융합기전공학),항공우주공학과,토목/환경/자원.에너지공학부(자원.에너지공학),기계공학과,기계설계공학부(나노바이오기계시스템공학),기계시스템공학부,토목/환경/자원.에너지공학부(환경공학),신소재공학부(정보소재공학),신소재공학부(금속시스템공학),69.89999999999999
676,677,뉞뒺켐,56,65,9,컴퓨터인공지능학부,양자시스템공학과,융합기술공학부(IT융합기전공학),고분자.나노공학과,유기소재섬유공학과,융합기술공학부(IT응용시스템공학),기계시스템공학부,신소재공학부(금속시스템공학),신소재공학부(전자재료공학),신소재공학부(정보소재공학),41.9
677,678,뢢넎퓀,58,77,26,토목/환경/자원.에너지공학부(토목공학),도시공학과,전자공학부,기계설계공학부(기계설계공학),신소재공학부(정보소재공학),토목/환경/자원.에너지공학부(자원.에너지공학),신소재공학부(전자재료공학),산업정보시스템공학과,바이오메디컬공학부,전기공학과,48.39999999999999
678,679,껢쬹꿓,63,65,95,기계설계공학부(나노바이오기계시스템공학),신소재공학부(정보소재공학),전자공학부,기계공학과,바이오메디컬공학부,기계설계공학부(기계설계공학),고분자.나노공학과,토목/환경/자원.에너지공학부(환경공학),전기공학과,산업정보시스템공학과,72.6
679,680,셊륭죒,70,67,59,전자공학부,기계시스템공학부,기계설계공학부(기계설계공학),신소재공학부(금속시스템공학),고분자.나노공학과,융합기술공학부(IT응용시스템공학),컴퓨터인공지능학부,기계공학과,기계설계공학부(나노바이오기계시스템공학),유기소재섬유공학과,66.7
680,681,뿥뭜꿠,72,74,70,기계공학과,기계설계공학부(나노바이오기계시스템공학),산업정보시스템공학과,전자공학부,항공우주공학과,전기공학과,기계설계공학부(기계설계공학),신소재공학부(전자재료공학),소프트웨어공학과,유기소재섬유공학과,71.4
681,682,뛜댍웬,80,64,53,전자공학부,화학공학부,유기소재섬유공학과,바이오메디컬공학부,건축공학과,토목/환경/자원.에너지공학부(자원.에너지공학),토목/환경/자원.에너지공학부(토목공학),기계공학과,컴퓨터인공지능학부,도시공학과,71.9
682,683,뱿꼊뻴,90,74,66,화학공학부,토목/환경/자원.에너지공학부(환경공학),기계공학과,신소재공학부(전자재료공학),전자공학부,융합기술공학부(IT융합기전공학),건축공학과,토목/환경/자원.에너지공학부(토목공학),기계시스템공학부,양자시스템공학과,82.8
683,684,쏾귱칾,68,58,83,소프트웨어공학과,화학공학부,신소재공학부(전자재료공학),산업정보시스템공학과,양자시스템공학과,컴퓨터인공지능학부,기계설계공학부(기계설계공학),건축공학과,유기소재섬유공학과,항공우주공학과,72.5
684,685,욤덾쨻,75,66,72,컴퓨터인공지능학부,토목/환경/자원.에너지공학부(환경공학),기계설계공학부(기계설계공학),건축공학과,전자공학부,도시공학과,토목/환경/자원.에너지공학부(자원.에너지공학),전기공학과,고분자.나노공학과,신소재공학부(금속시스템공학),74.1
685,686,퍚곹쿀,53,66,85,소프트웨어공학과,신소재공학부(금속시스템공학),항공우주공학과,바이오메디컬공학부,유기소재섬유공학과,전자공학부,융합기술공학부(IT응용시스템공학),신소재공학부(정보소재공학),양자시스템공학과,기계설계공학부(기계설계공학),62.599999999999994
686,687,덯쩾몕,75,96,32,전자공학부,신소재공학부(금속시스템공학),융합기술공학부(IT응용시스템공학),융합기술공학부(IT융합기전공학),항공우주공학과,소프트웨어공학과,화학공학부,기계시스템공학부,양자시스템공학과,바이오메디컬공학부,62.1
687,688,츇실셎,69,57,65,기계공학과,소프트웨어공학과,유기소재섬유공학과,토목/환경/자원.에너지공학부(환경공학),융합기술공학부(IT응용시스템공학),토목/환경/자원.에너지공학부(자원.에너지공학),산업정보시스템공학과,전자공학부,항공우주공학과,고분자.나노공학과,67.8
688,689,퐒떜굻,77,85,81,건축공학과,바이오메디컬공학부,기계공학과,전기공학과,융합기술공학부(IT융합기전공학),토목/환경/자원.에너지공학부(자원.에너지공학),기계설계공학부(나노바이오기계시스템공학),산업정보시스템공학과,고분자.나노공학과,화학공학부,78.2
689,690,쳥뭡탭,57,68,74,전기공학과,기계설계공학부(나노바이오기계시스템공학),토목/환경/자원.에너지공학부(토목공학),융합기술공학부(IT응용시스템공학),신소재공학부(전자재료공학),융합기술공학부(IT융합기전공학),기계공학과,고분자.나노공학과,유기소재섬유공학과,바이오메디컬공학부,62.099999999999994
690,691,특죱턹,63,53,100,전자공학부,기계설계공학부(기계설계공학),항공우주공학과,소프트웨어공학과,산업정보시스템공학과,신소재공학부(금속시스템공학),기계설계공학부(나노바이오기계시스템공학),기계공학과,화학공학부,컴퓨터인공지능학부,74.1
691,692,괄롩면,73,68,81,기계설계공학부(기계설계공학),기계공학과,신소재공학부(정보소재공학),신소재공학부(전자재료공학),기계설계공학부(나노바이오기계시스템공학),고분자.나노공학과,토목/환경/자원.에너지공학부(환경공학),건축공학과,양자시스템공학과,융합기술공학부(IT응용시스템공학),75.39999999999999
692,693,삔맳힂,70,61,66,기계공학과,기계시스템공학부,화학공학부,신소재공학부(정보소재공학),산업정보시스템공학과,고분자.나노공학과,기계설계공학부(기계설계공학),토목/환경/자원.에너지공학부(자원.에너지공학),바이오메디컬공학부,융합기술공학부(IT융합기전공학),68.8
693,694,륋얋쇮,81,69,57,신소재공학부(금속시스템공학),기계설계공학부(기계설계공학),건축공학과,기계설계공학부(나노바이오기계시스템공학),융합기술공학부(IT응용시스템공학),전기공학과,기계공학과,토목/환경/자원.에너지공학부(자원.에너지공학),항공우주공학과,유기소재섬유공학과,73.8
694,695,믓병퇸,59,81,37,전자공학부,양자시스템공학과,바이오메디컬공학부,전기공학과,기계설계공학부(나노바이오기계시스템공학),융합기술공학부(IT응용시스템공학),화학공학부,신소재공학부(전자재료공학),토목/환경/자원.에너지공학부(환경공학),유기소재섬유공학과,52.4
695,696,뢠눞퓁,91,58,100,기계시스템공학부,산업정보시스템공학과,도시공학과,항공우주공학과,고분자.나노공학과,토목/환경/자원.에너지공학부(환경공학),전기공학과,바이오메디컬공학부,유기소재섬유공학과,토목/환경/자원.에너지공학부(자원.에너지공학),93.69999999999999
696,697,뵶앢뒃,54,54,81,화학공학부,바이오메디컬공학부,토목/환경/자원.에너지공학부(환경공학),전기공학과,신소재공학부(정보소재공학),산업정보시스템공학과,융합기술공학부(IT융합기전공학),전자공학부,융합기술공학부(IT응용시스템공학),건축공학과,62.099999999999994
697,698,쿝델벌,70,59,31,컴퓨터인공지능학부,전자공학부,전기공학과,신소재공학부(전자재료공학),기계설계공학부(기계설계공학),토목/환경/자원.에너지공학부(자원.에너지공학),화학공학부,도시공학과,토목/환경/자원.에너지공학부(환경공학),신소재공학부(금속시스템공학),58.3
698,699,쨴샵걋,80,46,59,전자공학부,신소재공학부(정보소재공학),전기공학과,융합기술공학부(IT응용시스템공학),도시공학과,고분자.나노공학과,항공우주공학과,산업정보시스템공학과,신소재공학부(전자재료공학),소프트웨어공학과,73.7
699,700,죖맅줠,73,53,46,소프트웨어공학과,화학공학부,건축공학과,기계공학과,고분자.나노공학과,토목/환경/자원.에너지공학부(자원.에너지공학),항공우주공학과,신소재공학부(전자재료공학),신소재공학부(정보소재공학),유기소재섬유공학과,64.89999999999999
700,701,쿆뀂횖,80,56,88,기계시스템공학부,기계공학과,산업정보시스템공학과,컴퓨터인공지능학부,화학공학부,소프트웨어공학과,신소재공학부(금속시스템공학),신소재공학부(전자재료공학),신소재공학부(정보소재공학),토목/환경/자원.에너지공학부(자원.에너지공학),82.4
701,702,칧첝쉧,83,61,63,전자공학부,고분자.나노공학과,융합기술공학부(IT응용시스템공학),신소재공학부(정보소재공학),유기소재섬유공학과,기계설계공학부(나노바이오기계시스템공학),바이오메디컬공학부,산업정보시스템공학과,기계시스템공학부,도시공학과,77.0
702,703,뼸좾풘,76,77,75,컴퓨터인공지능학부,양자시스템공학과,도시공학과,기계시스템공학부,토목/환경/자원.에너지공학부(자원.에너지공학),융합기술공학부(IT융합기전공학),전자공학부,신소재공학부(금속시스템공학),토목/환경/자원.에너지공학부(환경공학),유기소재섬유공학과,75.69999999999999
703,704,혜횎펞,63,86,71,기계설계공학부(기계설계공학),융합기술공학부(IT융합기전공학),산업정보시스템공학과,기계설계공학부(나노바이오기계시스템공학),양자시스템공학과,바이오메디컬공학부,항공우주공학과,소프트웨어공학과,신소재공학부(정보소재공학),도시공학과,65.39999999999999
704,705,짔히쑕,68,62,84,신소재공학부(전자재료공학),신소재공학부(금속시스템공학),전자공학부,토목/환경/자원.에너지공학부(자원.에너지공학),토목/환경/자원.에너지공학부(환경공학),기계설계공학부(기계설계공학),고분자.나노공학과,항공우주공학과,양자시스템공학과,융합기술공학부(IT융합기전공학),72.8
705,706,뺃홓룣,82,71,54,전자공학부,컴퓨터인공지능학부,전기공학과,항공우주공학과,양자시스템공학과,화학공학부,도시공학과,토목/환경/자원.에너지공학부(자원.에너지공학),산업정보시스템공학과,신소재공학부(전자재료공학),73.6
706,707,뢩끤껅,54,93,94,전자공학부,신소재공학부(전자재료공학),융합기술공학부(IT융합기전공학),산업정보시스템공학과,기계설계공학부(기계설계공학),토목/환경/자원.에너지공학부(자원.에너지공학),기계설계공학부(나노바이오기계시스템공학),기계공학과,토목/환경/자원.에너지공학부(토목공학),융합기술공학부(IT응용시스템공학),66.0
707,708,좀곛룰,65,65,88,기계시스템공학부,소프트웨어공학과,기계공학과,고분자.나노공학과,융합기술공학부(IT융합기전공학),신소재공학부(금속시스템공학),전자공학부,화학공학부,항공우주공학과,양자시스템공학과,71.9
708,709,췸쵲뛗,71,100,89,유기소재섬유공학과,건축공학과,토목/환경/자원.에너지공학부(자원.에너지공학),기계시스템공학부,신소재공학부(금속시스템공학),토목/환경/자원.에너지공학부(토목공학),전기공학과,컴퓨터인공지능학부,바이오메디컬공학부,도시공학과,76.39999999999999
709,710,딑툍옘,78,82,75,고분자.나노공학과,융합기술공학부(IT융합기전공학),융합기술공학부(IT응용시스템공학),전기공학과,토목/환경/자원.에너지공학부(토목공학),컴퓨터인공지능학부,기계공학과,소프트웨어공학과,유기소재섬유공학과,전자공학부,77.1
710,711,빩뷊긑,63,58,91,전자공학부,신소재공학부(정보소재공학),융합기술공학부(IT융합기전공학),건축공학과,도시공학과,컴퓨터인공지능학부,전기공학과,바이오메디컬공학부,유기소재섬유공학과,기계공학과,71.39999999999999
711,712,촷뤝웋,69,75,68,전자공학부,바이오메디컬공학부,도시공학과,토목/환경/자원.에너지공학부(환경공학),신소재공학부(전자재료공학),기계공학과,양자시스템공학과,소프트웨어공학과,항공우주공학과,기계설계공학부(나노바이오기계시스템공학),68.69999999999999
712,713,헹룞미,67,66,65,신소재공학부(금속시스템공학),항공우주공학과,컴퓨터인공지능학부,토목/환경/자원.에너지공학부(환경공학),신소재공학부(정보소재공학),화학공학부,신소재공학부(전자재료공학),토목/환경/자원.에너지공학부(토목공학),기계시스템공학부,건축공학과,66.4
713,714,챊넛쒑,61,72,75,전자공학부,기계시스템공학부,산업정보시스템공학과,컴퓨터인공지능학부,토목/환경/자원.에너지공학부(환경공학),바이오메디컬공학부,건축공학과,도시공학과,신소재공학부(정보소재공학),유기소재섬유공학과,65.19999999999999
714,715,쥰쀛깒,64,59,47,기계공학과,기계시스템공학부,바이오메디컬공학부,산업정보시스템공학과,전기공학과,전자공학부,기계설계공학부(나노바이오기계시스템공학),토목/환경/자원.에너지공학부(환경공학),융합기술공학부(IT응용시스템공학),도시공학과,58.9
715,716,볣쒉쬿,70,61,65,토목/환경/자원.에너지공학부(자원.에너지공학),융합기술공학부(IT융합기전공학),신소재공학부(전자재료공학),토목/환경/자원.에너지공학부(환경공학),전자공학부,유기소재섬유공학과,기계시스템공학부,신소재공학부(정보소재공학),컴퓨터인공지능학부,고분자.나노공학과,68.5
716,717,뺌쓽묖,73,79,86,전기공학과,컴퓨터인공지능학부,토목/환경/자원.에너지공학부(환경공학),토목/환경/자원.에너지공학부(자원.에너지공학),도시공학과,전자공학부,바이오메디컬공학부,신소재공학부(정보소재공학),기계시스템공학부,소프트웨어공학과,76.89999999999999
717,718,퐧맏뷞,60,68,76,화학공학부,신소재공학부(정보소재공학),컴퓨터인공지능학부,유기소재섬유공학과,산업정보시스템공학과,기계공학과,양자시스템공학과,항공우주공학과,토목/환경/자원.에너지공학부(토목공학),전기공학과,64.8
718,719,쩀팚폄,81,65,63,기계설계공학부(나노바이오기계시스템공학),항공우주공학과,기계시스템공학부,양자시스템공학과,기계설계공학부(기계설계공학),신소재공학부(금속시스템공학),토목/환경/자원.에너지공학부(자원.에너지공학),건축공학과,바이오메디컬공학부,산업정보시스템공학과,75.6
719,720,썒밧뀜,78,50,70,토목/환경/자원.에너지공학부(자원.에너지공학),신소재공학부(전자재료공학),건축공학과,바이오메디컬공학부,항공우주공학과,컴퓨터인공지능학부,고분자.나노공학과,기계설계공학부(기계설계공학),토목/환경/자원.에너지공학부(환경공학),신소재공학부(금속시스템공학),75.6
720,721,먷띛츨,72,94,35,유기소재섬유공학과,소프트웨어공학과,항공우주공학과,화학공학부,신소재공학부(금속시스템공학),양자시스템공학과,도시공학과,기계공학과,전기공학과,기계시스템공학부,60.9
721,722,확먃핥,59,55,100,기계설계공학부(기계설계공학),양자시스템공학과,고분자.나노공학과,산업정보시스템공학과,토목/환경/자원.에너지공학부(환경공학),소프트웨어공학과,토목/환경/자원.에너지공학부(자원.에너지공학),컴퓨터인공지능학부,기계시스템공학부,기계공학과,71.3
722,723,숤놷핥,66,72,33,전자공학부,전기공학과,융합기술공학부(IT융합기전공학),항공우주공학과,토목/환경/자원.에너지공학부(토목공학),신소재공학부(정보소재공학),신소재공학부(전자재료공학),산업정보시스템공학과,신소재공학부(금속시스템공학),양자시스템공학과,56.099999999999994
723,724,쾣꺌뤔,74,64,80,전기공학과,컴퓨터인공지능학부,신소재공학부(정보소재공학),기계공학과,신소재공학부(전자재료공학),기계설계공학부(나노바이오기계시스템공학),도시공학과,융합기술공학부(IT응용시스템공학),전자공학부,항공우주공학과,75.8
724,725,슑싔버,68,62,32,기계시스템공학부,융합기술공학부(IT응용시스템공학),기계설계공학부(나노바이오기계시스템공학),화학공학부,고분자.나노공학과,융합기술공학부(IT융합기전공학),전자공학부,도시공학과,신소재공학부(전자재료공학),토목/환경/자원.에너지공학부(토목공학),57.199999999999996
725,726,벀쌯갼,56,82,81,기계시스템공학부,양자시스템공학과,융합기술공학부(IT융합기전공학),토목/환경/자원.에너지공학부(자원.에너지공학),신소재공학부(금속시스템공학),건축공학과,기계공학과,유기소재섬유공학과,융합기술공학부(IT응용시스템공학),산업정보시스템공학과,63.5
726,727,믢뭜쮄,78,63,59,토목/환경/자원.에너지공학부(토목공학),신소재공학부(전자재료공학),신소재공학부(금속시스템공학),소프트웨어공학과,토목/환경/자원.에너지공학부(자원.에너지공학),기계설계공학부(나노바이오기계시스템공학),신소재공학부(정보소재공학),융합기술공학부(IT응용시스템공학),기계공학과,전자공학부,72.3
727,728,흤괌닻,81,69,21,전자공학부,건축공학과,토목/환경/자원.에너지공학부(환경공학),소프트웨어공학과,융합기술공학부(IT융합기전공학),기계설계공학부(나노바이오기계시스템공학),컴퓨터인공지능학부,도시공학과,산업정보시스템공학과,신소재공학부(금속시스템공학),62.99999999999999
728,729,마묦퓖,66,64,84,전자공학부,컴퓨터인공지능학부,기계시스템공학부,유기소재섬유공학과,융합기술공학부(IT융합기전공학),양자시스템공학과,전기공학과,화학공학부,토목/환경/자원.에너지공학부(환경공학),항공우주공학과,71.39999999999999
729,730,삈덁몎,74,69,91,전자공학부,양자시스템공학과,기계시스템공학부,전기공학과,도시공학과,융합기술공학부(IT융합기전공학),융합기술공학부(IT응용시스템공학),토목/환경/자원.에너지공학부(자원.에너지공학),기계설계공학부(나노바이오기계시스템공학),컴퓨터인공지능학부,79.1
730,731,뙒뒵츪,73,84,77,신소재공학부(정보소재공학),컴퓨터인공지능학부,기계시스템공학부,신소재공학부(금속시스템공학),양자시스템공학과,항공우주공학과,기계설계공학부(기계설계공학),융합기술공학부(IT융합기전공학),기계공학과,토목/환경/자원.에너지공학부(토목공학),74.19999999999999
731,732,돛볢폇,69,42,44,신소재공학부(금속시스템공학),전기공학과,토목/환경/자원.에너지공학부(토목공학),토목/환경/자원.에너지공학부(환경공학),기계시스템공학부,신소재공학부(정보소재공학),유기소재섬유공학과,화학공학부,기계설계공학부(나노바이오기계시스템공학),도시공학과,61.5
732,733,쒕쿤큓,58,61,89,유기소재섬유공학과,신소재공학부(금속시스템공학),기계공학과,토목/환경/자원.에너지공학부(토목공학),건축공학과,기계설계공학부(기계설계공학),컴퓨터인공지능학부,산업정보시스템공학과,융합기술공학부(IT융합기전공학),고분자.나노공학과,67.3
733,734,콘췍츲,66,66,70,유기소재섬유공학과,전기공학과,융합기술공학부(IT융합기전공학),기계설계공학부(기계설계공학),소프트웨어공학과,융합기술공학부(IT응용시스템공학),양자시스템공학과,신소재공학부(전자재료공학),항공우주공학과,기계시스템공학부,67.19999999999999
734,735,팎릁뜂,56,68,67,신소재공학부(금속시스템공학),양자시스템공학과,토목/환경/자원.에너지공학부(토목공학),산업정보시스템공학과,기계공학과,융합기술공학부(IT응용시스템공학),소프트웨어공학과,기계설계공학부(나노바이오기계시스템공학),융합기술공학부(IT융합기전공학),컴퓨터인공지능학부,59.3
735,736,헖굧딈,65,58,40,전자공학부,컴퓨터인공지능학부,토목/환경/자원.에너지공학부(환경공학),양자시스템공학과,토목/환경/자원.에너지공학부(자원.에너지공학),기계시스템공학부,도시공학과,신소재공학부(전자재료공학),신소재공학부(금속시스템공학),유기소재섬유공학과,57.5
736,737,퓫섑콕,51,53,83,바이오메디컬공학부,기계설계공학부(기계설계공학),토목/환경/자원.에너지공학부(자원.에너지공학),건축공학과,고분자.나노공학과,토목/환경/자원.에너지공학부(토목공학),양자시스템공학과,토목/환경/자원.에너지공학부(환경공학),전자공학부,화학공학부,60.599999999999994
737,738,롣듞김,71,55,64,기계시스템공학부,유기소재섬유공학과,항공우주공학과,기계공학과,융합기술공학부(IT응용시스템공학),신소재공학부(금속시스템공학),기계설계공학부(기계설계공학),화학공학부,기계설계공학부(나노바이오기계시스템공학),토목/환경/자원.에너지공학부(자원.에너지공학),68.89999999999999
738,739,즏츙쮱,77,52,72,전자공학부,도시공학과,소프트웨어공학과,고분자.나노공학과,신소재공학부(전자재료공학),토목/환경/자원.에너지공학부(자원.에너지공학),기계설계공학부(나노바이오기계시스템공학),융합기술공학부(IT응용시스템공학),컴퓨터인공지능학부,토목/환경/자원.에너지공학부(토목공학),75.5
739,740,멗퐌돴,69,89,87,기계공학과,고분자.나노공학과,기계설계공학부(나노바이오기계시스템공학),전기공학과,신소재공학부(정보소재공학),기계설계공학부(기계설계공학),산업정보시스템공학과,항공우주공학과,신소재공학부(전자재료공학),화학공학부,74.39999999999999
740,741,슋챙큯,62,70,21,컴퓨터인공지능학부,신소재공학부(정보소재공학),기계설계공학부(나노바이오기계시스템공학),융합기술공학부(IT융합기전공학),토목/환경/자원.에너지공학부(자원.에너지공학),고분자.나노공학과,유기소재섬유공학과,전자공학부,전기공학과,바이오메디컬공학부,49.699999999999996
741,742,꿾랆퐡,68,71,74,컴퓨터인공지능학부,바이오메디컬공학부,기계시스템공학부,융합기술공학부(IT융합기전공학),화학공학부,유기소재섬유공학과,토목/환경/자원.에너지공학부(토목공학),산업정보시스템공학과,도시공학과,신소재공학부(금속시스템공학),69.8
742,743,뵠듿옳,78,50,34,바이오메디컬공학부,융합기술공학부(IT융합기전공학),토목/환경/자원.에너지공학부(토목공학),신소재공학부(정보소재공학),컴퓨터인공지능학부,항공우주공학과,융합기술공학부(IT응용시스템공학),건축공학과,유기소재섬유공학과,기계시스템공학부,64.8
743,744,쀱섌돎,81,67,76,컴퓨터인공지능학부,화학공학부,양자시스템공학과,항공우주공학과,융합기술공학부(IT융합기전공학),신소재공학부(금속시스템공학),고분자.나노공학과,기계시스템공학부,산업정보시스템공학과,기계설계공학부(나노바이오기계시스템공학),79.5
744,745,곡쮷덳,62,84,69,토목/환경/자원.에너지공학부(자원.에너지공학),융합기술공학부(IT응용시스템공학),화학공학부,양자시스템공학과,기계설계공학부(기계설계공학),소프트웨어공학과,신소재공학부(전자재료공학),고분자.나노공학과,토목/환경/자원.에너지공학부(환경공학),기계설계공학부(나노바이오기계시스템공학),64.1
745,746,굣꿢찳,62,80,77,산업정보시스템공학과,양자시스템공학과,화학공학부,신소재공학부(전자재료공학),유기소재섬유공학과,토목/환경/자원.에너지공학부(토목공학),항공우주공학과,기계설계공학부(나노바이오기계시스템공학),도시공학과,고분자.나노공학과,66.5
746,747,덯찀뇿,83,91,81,전자공학부,고분자.나노공학과,신소재공학부(전자재료공학),융합기술공학부(IT융합기전공학),소프트웨어공학과,토목/환경/자원.에너지공학부(토목공학),항공우주공학과,전기공학과,건축공학과,신소재공학부(금속시스템공학),82.39999999999999
747,748,켗탦헳,70,82,59,기계공학과,기계설계공학부(기계설계공학),기계시스템공학부,컴퓨터인공지능학부,고분자.나노공학과,융합기술공학부(IT융합기전공학),전자공학부,토목/환경/자원.에너지공학부(자원.에너지공학),양자시스템공학과,항공우주공학과,66.7
748,749,섂몊뛉,59,62,31,유기소재섬유공학과,신소재공학부(전자재료공학),고분자.나노공학과,건축공학과,융합기술공학부(IT응용시스템공학),전기공학과,소프트웨어공학과,기계공학과,기계설계공학부(기계설계공학),전자공학부,50.599999999999994
749,750,춻늄뫭,56,63,51,신소재공학부(금속시스템공학),기계설계공학부(나노바이오기계시스템공학),융합기술공학부(IT융합기전공학),고분자.나노공학과,산업정보시스템공학과,바이오메디컬공학부,화학공학부,컴퓨터인공지능학부,전자공학부,양자시스템공학과,54.49999999999999
750,751,땙왝댊,58,83,89,기계시스템공학부,항공우주공학과,기계공학과,토목/환경/자원.에너지공학부(토목공학),컴퓨터인공지능학부,신소재공학부(전자재료공학),도시공학과,기계설계공학부(기계설계공학),토목/환경/자원.에너지공학부(자원.에너지공학),소프트웨어공학과,67.3
751,752,뷟쪉눝,75,66,66,바이오메디컬공학부,기계설계공학부(나노바이오기계시스템공학),컴퓨터인공지능학부,토목/환경/자원.에너지공학부(환경공학),산업정보시스템공학과,전자공학부,전기공학과,고분자.나노공학과,기계설계공학부(기계설계공학),건축공학과,72.3
752,753,밺쇈뒕,66,77,59,양자시스템공학과,기계설계공학부(기계설계공학),항공우주공학과,소프트웨어공학과,토목/환경/자원.에너지공학부(토목공학),토목/환경/자원.에너지공학부(자원.에너지공학),유기소재섬유공학과,화학공학부,전자공학부,건축공학과,63.89999999999999
753,754,풑뻝좽,84,54,54,컴퓨터인공지능학부,신소재공학부(정보소재공학),토목/환경/자원.에너지공학부(환경공학),바이오메디컬공학부,양자시스템공학과,기계설계공학부(나노바이오기계시스템공학),산업정보시스템공학과,기계설계공학부(기계설계공학),신소재공학부(금속시스템공학),기계시스템공학부,75.0
754,755,탽깶흩,57,91,69,화학공학부,전자공학부,기계공학과,기계설계공학부(기계설계공학),융합기술공학부(IT응용시스템공학),신소재공학부(금속시스템공학),소프트웨어공학과,신소재공학부(전자재료공학),기계시스템공학부,토목/환경/자원.에너지공학부(자원.에너지공학),60.599999999999994
755,756,삪뇬쒗,69,61,61,건축공학과,신소재공학부(전자재료공학),바이오메디컬공학부,신소재공학부(금속시스템공학),토목/환경/자원.에너지공학부(환경공학),양자시스템공학과,항공우주공학과,토목/환경/자원.에너지공학부(토목공학),전기공학과,기계설계공학부(나노바이오기계시스템공학),66.6
756,757,혗귧퐺,45,82,42,컴퓨터인공지능학부,토목/환경/자원.에너지공학부(자원.에너지공학),바이오메디컬공학부,융합기술공학부(IT응용시스템공학),화학공학부,소프트웨어공학과,토목/환경/자원.에너지공학부(환경공학),항공우주공학과,신소재공학부(금속시스템공학),건축공학과,44.099999999999994
757,758,뎣웄둕,61,60,84,전자공학부,신소재공학부(전자재료공학),고분자.나노공학과,신소재공학부(정보소재공학),기계설계공학부(나노바이오기계시스템공학),전기공학과,소프트웨어공학과,융합기술공학부(IT융합기전공학),기계공학과,양자시스템공학과,67.89999999999999
758,759,릃뷭엋,77,71,92,유기소재섬유공학과,소프트웨어공학과,토목/환경/자원.에너지공학부(자원.에너지공학),융합기술공학부(IT응용시스템공학),도시공학과,신소재공학부(정보소재공학),양자시스템공학과,산업정보시스템공학과,건축공학과,기계공학과,81.5
759,760,촧맴뢬,71,100,21,컴퓨터인공지능학부,고분자.나노공학과,융합기술공학부(IT응용시스템공학),화학공학부,기계설계공학부(기계설계공학),기계시스템공학부,유기소재섬유공학과,토목/환경/자원.에너지공학부(자원.에너지공학),토목/환경/자원.에너지공학부(토목공학),융합기술공학부(IT융합기전공학),55.99999999999999
760,761,죛쀷삥,61,83,81,바이오메디컬공학부,융합기술공학부(IT응용시스템공학),신소재공학부(정보소재공학),기계공학과,항공우주공학과,고분자.나노공학과,토목/환경/자원.에너지공학부(자원.에너지공학),화학공학부,기계설계공학부(나노바이오기계시스템공학),신소재공학부(전자재료공학),67.0
761,762,즈짰슺,70,56,69,화학공학부,전기공학과,기계공학과,소프트웨어공학과,항공우주공학과,기계설계공학부(나노바이오기계시스템공학),양자시스템공학과,컴퓨터인공지능학부,융합기술공학부(IT응용시스템공학),신소재공학부(정보소재공학),69.7
762,763,뱔볫톼,66,84,81,항공우주공학과,신소재공학부(금속시스템공학),토목/환경/자원.에너지공학부(자원.에너지공학),전기공학과,바이오메디컬공학부,도시공학과,기계설계공학부(기계설계공학),산업정보시스템공학과,기계설계공학부(나노바이오기계시스템공학),전자공학부,70.5
763,764,뭣캷즼,65,74,93,화학공학부,기계공학과,토목/환경/자원.에너지공학부(자원.에너지공학),신소재공학부(정보소재공학),산업정보시스템공학과,바이오메디컬공학부,신소재공학부(금속시스템공학),전기공학과,건축공학과,소프트웨어공학과,73.4
